REF_DATE,GEO,DGUID,Type of currency,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
5/1/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.8996,,,,4
5/2/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9087,,,,4
5/3/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9084,,,,4
5/4/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9066,,,,4
5/5/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9049,,,,4
5/6/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,,..,,,4
5/7/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,,..,,,4
5/8/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9068,,,,4
5/9/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9048,,,,4
5/10/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9055,,,,4
5/11/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9035,,,,4
5/12/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9007,,,,4
5/13/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,,..,,,4
5/14/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,,..,,,4
5/15/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.9029,,,,4
5/16/2023,Canada,2016A000011124,"Australian dollar, daily average",Dollars,81,units,0,v111666224,1.1,0.8966,,,,4
5/1/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2715,,,,4
5/2/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2703,,,,4
5/3/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2716,,,,4
5/4/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2711,,,,4
5/5/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2709,,,,4
5/6/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,,..,,,4
5/7/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,,..,,,4
5/8/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.268,,,,4
5/9/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.268,,,,4
5/10/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2699,,,,4
5/11/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2718,,,,4
5/12/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2746,,,,4
5/13/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,,..,,,4
5/14/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,,..,,,4
5/15/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2748,,,,4
5/16/2023,Canada,2016A000011124,"Brazilian real, daily average",Dollars,81,units,0,v111666225,1.2,0.2733,,,,4
5/1/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.196,,,,4
5/2/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.197,,,,4
5/3/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.197,,,,4
5/4/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1963,,,,4
5/5/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1942,,,,4
5/6/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,,..,,,4
5/7/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,,..,,,4
5/8/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1931,,,,4
5/9/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1935,,,,4
5/10/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.193,,,,4
5/11/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.194,,,,4
5/12/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1946,,,,4
5/13/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,,..,,,4
5/14/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,,..,,,4
5/15/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.194,,,,4
5/16/2023,Canada,2016A000011124,"Chinese renminbi, daily average",Dollars,81,units,0,v111666226,1.3,0.1929,,,,4
5/1/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4881,,,,4
5/2/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4959,,,,4
5/3/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.5043,,,,4
5/4/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4951,,,,4
5/5/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4784,,,,4
5/6/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,,..,,,4
5/7/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,,..,,,4
5/8/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.472,,,,4
5/9/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4675,,,,4
5/10/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.468,,,,4
5/11/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4716,,,,4
5/12/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4705,,,,4
5/13/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,,..,,,4
5/14/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,,..,,,4
5/15/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4667,,,,4
5/16/2023,Canada,2016A000011124,"European euro, daily average",Dollars,81,units,0,v111666227,1.4,1.4625,,,,4
5/1/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.172565,,,,6
5/2/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.173478,,,,6
5/3/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.173457,,,,6
5/4/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.172863,,,,6
5/5/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.171093,,,,6
5/6/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,,..,,,6
5/7/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,,..,,,6
5/8/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.170148,,,,6
5/9/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.170757,,,,6
5/10/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.170818,,,,6
5/11/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.171978,,,,6
5/12/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.172573,,,,6
5/13/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,,..,,,6
5/14/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,,..,,,6
5/15/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.172057,,,,6
5/16/2023,Canada,2016A000011124,"Hong Kong dollar, daily average",Dollars,81,units,0,v111666228,1.5,0.171669,,,,6
5/1/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01657,,,,5
5/2/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01665,,,,5
5/3/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01665,,,,5
5/4/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.0166,,,,5
5/5/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01643,,,,5
5/6/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,,..,,,5
5/7/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,,..,,,5
5/8/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01633,,,,5
5/9/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01631,,,,5
5/10/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01632,,,,5
5/11/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01641,,,,5
5/12/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01647,,,,5
5/13/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,,..,,,5
5/14/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,,..,,,5
5/15/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.0164,,,,5
5/16/2023,Canada,2016A000011124,"Indian rupee, daily average",Dollars,81,units,0,v111666229,1.6,0.01635,,,,5
5/1/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000092,,,,6
5/2/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000093,,,,6
5/3/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000093,,,,6
5/4/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000092,,,,6
5/5/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/6/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,,..,,,6
5/7/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,,..,,,6
5/8/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/9/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/10/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/11/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000092,,,,6
5/12/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000092,,,,6
5/13/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,,..,,,6
5/14/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,,..,,,6
5/15/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/16/2023,Canada,2016A000011124,"Indonesian rupiah, daily average",Dollars,81,units,0,v111666230,1.7,0.000091,,,,6
5/1/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00987,,,,5
5/2/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00996,,,,5
5/3/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.01006,,,,5
5/4/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.01011,,,,5
5/5/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00996,,,,5
5/6/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,,..,,,5
5/7/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,,..,,,5
5/8/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.0099,,,,5
5/9/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00991,,,,5
5/10/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00995,,,,5
5/11/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.01003,,,,5
5/12/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.01,,,,5
5/13/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,,..,,,5
5/14/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,,..,,,5
5/15/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00991,,,,5
5/16/2023,Canada,2016A000011124,"Japanese yen, daily average",Dollars,81,units,0,v111666231,1.8,0.00987,,,,5
5/1/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07551,,,,5
5/2/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07565,,,,5
5/3/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.076,,,,5
5/4/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07566,,,,5
5/5/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.0754,,,,5
5/6/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,,..,,,5
5/7/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,,..,,,5
5/8/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07499,,,,5
5/9/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07533,,,,5
5/10/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07595,,,,5
5/11/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07647,,,,5
5/12/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07686,,,,5
5/13/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,,..,,,5
5/14/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,,..,,,5
5/15/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07689,,,,5
5/16/2023,Canada,2016A000011124,"Mexican peso, daily average",Dollars,81,units,0,v111666233,1.1,0.07702,,,,5
5/1/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8365,,,,4
5/2/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.845,,,,4
5/3/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8487,,,,4
5/4/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8518,,,,4
5/5/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8449,,,,4
5/6/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/7/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/8/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.848,,,,4
5/9/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8473,,,,4
5/10/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8503,,,,4
5/11/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8501,,,,4
5/12/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8393,,,,4
5/13/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/14/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/15/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8398,,,,4
5/16/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8388,,,,4
5/1/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1262,,,,4
5/2/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1262,,,,4
5/3/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1265,,,,4
5/4/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/5/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1268,,,,4
5/6/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/7/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/8/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1274,,,,4
5/9/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/10/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1274,,,,4
5/11/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1266,,,,4
5/12/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/13/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/14/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/15/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1269,,,,4
5/16/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1257,,,,4
5/1/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3655,,,,4
5/2/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3671,,,,4
5/3/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.367,,,,4
5/4/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3651,,,,4
5/5/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.362,,,,4
5/6/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/7/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/8/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3606,,,,4
5/9/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3622,,,,4
5/10/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3638,,,,4
5/11/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3673,,,,4
5/12/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3702,,,,4
5/13/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/14/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/15/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3681,,,,4
5/16/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3657,,,,4
5/1/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01708,,,,5
5/2/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01702,,,,5
5/3/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01719,,,,5
5/4/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01734,,,,5
5/5/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01744,,,,5
5/6/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/7/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/8/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01716,,,,5
5/9/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01723,,,,5
5/10/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01759,,,,5
5/11/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01751,,,,5
5/12/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01745,,,,5
5/13/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/14/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/15/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01694,,,,5
5/16/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.0167,,,,5
5/1/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3612,,,,4
5/2/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3631,,,,4
5/3/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3631,,,,4
5/4/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3617,,,,4
5/5/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.358,,,,4
5/6/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/7/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/8/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3561,,,,4
5/9/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3571,,,,4
5/10/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3567,,,,4
